time,lat,lng,x_g,y_g,z_g
58421,33.099323,-96.092391,0.34,-0.10,0.96
58972,33.099323,-96.092391,0.34,-0.09,0.96
59664,33.099323,-96.092391,0.14,-0.03,0.96
60332,33.099323,-96.092391,-0.04,-0.07,0.92
60882,33.099323,-96.092391,-0.07,-0.07,0.96
61551,33.099323,-96.092391,-0.20,-0.09,0.98
62102,33.099323,-96.092391,-0.26,-0.08,0.94
62693,33.099323,-96.092391,-0.27,-0.02,0.80
63362,33.099323,-96.092391,-0.61,-0.14,1.19
63915,33.099323,-96.092391,-0.58,-0.16,1.14
64582,33.099323,-96.092391,-0.50,-0.07,0.94
65133,33.099323,-96.092391,-0.44,-0.12,0.74
65727,33.099323,-96.092391,-0.48,-0.16,0.84
66396,33.099323,-96.092391,-0.40,-0.15,0.84
66948,33.099323,-96.092391,-0.33,-0.17,0.99
67615,33.099323,-96.092391,-0.20,-0.15,0.98
68209,33.099323,-96.092391,-0.17,-0.20,1.01
68760,33.099323,-96.092391,-0.16,-0.14,0.92
69429,33.099323,-96.092391,-0.17,-0.13,0.97
69980,33.099323,-96.092391,-0.05,-0.17,1.00
70683,33.099323,-96.092391,-0.24,-0.21,0.96
71351,33.099323,-96.092391,0.04,-0.20,0.91
71903,33.099323,-96.092391,-0.20,0.08,1.09
72569,33.099323,-96.092391,-0.15,-0.05,0.87
73121,33.099323,-96.092391,-0.10,-0.05,1.00
73716,33.099323,-96.092391,-0.07,-0.03,0.97
74385,33.099323,-96.092391,-0.11,-0.07,0.92
74936,33.099323,-96.092391,-0.28,-0.13,0.97
75604,33.099323,-96.092391,-0.02,-0.04,1.01
76155,33.099323,-96.092391,-0.03,-0.07,0.95
76722,33.099323,-96.092391,-0.05,-0.08,1.00
77403,33.099323,-96.092391,-0.02,-0.09,0.91
77953,33.099323,-96.092391,-0.00,-0.01,0.98
78645,33.099323,-96.092391,0.06,-0.02,0.92
79319,33.099323,-96.092391,0.12,0.08,0.95
